pid,code,duration,code_score,A/C,M/F,code_count,engagement_score,norm_engagement_score
618,"['Approach', 'None']","[5200, 5920]","[3, 4]",Child,Male,2,39280,2.9805832198896614
619,"['Approach', 'Touch']","[3520, 25760]","[3, 5]",Child,Male,2,139360,11.943827470086694
620,"['Approach', 'None']","[17840, 2720]","[3, 4]",Child,Female,2,64400,5.230350361825607
621,"['Approach', 'None']","[3360, 34400]","[3, 4]",Child,Female,2,147680,12.688973275059109
622,"['Approach', 'None']","[9920, 90880]","[3, 4]",Child,Female,2,393280,34.68510424876406
623,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch']","[2160, 16960, 20800, 3200, 4000, 11280]","[3, 5, 4, 5, 4, 5]",Child,Female,6,262880,23.00637672852332
624,"['Approach', 'None']","[3440, 30200]","[3, 4]",Child,Female,2,131120,11.20584652862363
625,"['Approach', 'None']","[18800, 10320]","[3, 4]",Child,Female,2,97680,8.210933581715269
626,"['Approach', 'None']","[5680, 2080]","[3, 4]",Child,Female,2,25360,1.7338969692627355
627,"['Approach', 'None']","[6720, 40720]","[3, 4]",Child,Female,2,183040,15.855842946191876
628,"['Approach', 'None']","[5280, 3680]","[3, 4]",Child,Female,2,30560,2.199613097370495
629,"['Approach', 'None']","[28400, 13040]","[3, 4]",Adult,Male,2,137360,11.76470588235294
630,"['Approach', 'Touch', 'None']","[3040, 9440, 32080]","[3, 5, 4]",Adult,Male,3,184640,15.99914021637888
631,"['Approach', 'None']","[6640, 12480]","[3, 4]",Adult,Male,2,69840,5.717561080461417
632,"['Approach', 'None']","[14080, 57120]","[3, 4]",Adult,Male,2,270720,23.708533352439638
633,"['Approach', 'None']","[5760, 21600]","[3, 4]",Adult,Male,2,103680,8.74829834491653
634,"['Approach', 'None']","[11520, 4320]","[3, 4]",Child,Female,2,51840,4.105466790857634
635,"['Approach', 'None']","[6480, 18240]","[3, 4]",Child,Female,2,92400,7.7380525900981585
636,"['Approach', 'None']","[2400, 40720]","[3, 4]",Child,Female,2,170080,14.69513505767715
637,"['Approach', 'None']","[10160, 13360]","[3, 4]",Child,Female,2,83920,6.978577058107042
638,"['Approach', 'None']","[18640, 74400]","[3, 4]",Child,Female,2,353520,31.12416708461704
639,"['Approach', 'None']","[2160, 3920]","[3, 4]",Child,Female,2,22160,1.4473024288887297
640,"['Approach', 'None']","[6640, 23600]","[3, 4]",Child,Female,2,114320,9.701225191660098
642,"['Approach', 'None']","[15680, 72160]","[3, 4]",Child,Female,2,335680,29.52640252203195
643,"['Approach', 'None']","[4720, 9040]","[3, 4]",Child,Female,2,50320,3.9693343841799815
644,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[15680, 5680, 5520, 10080, 3680, 4720, 11760, 3760, 2560, 2800, 5840]","[3, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]",Adult,Female,11,299680,26.302213942824388
645,"['Approach', 'None']","[5280, 5280]","[3, 4]",Adult,Female,2,36960,2.772802178118507
646,"['Approach', 'None']","[2400, 62080]","[3, 4]",Adult,Female,2,255520,22.34720928566311
647,"['Approach', 'None']","[1680, 3920]","[3, 4]",Adult,Female,2,20720,1.3183348857204271
650,"['Approach', 'None', 'Touch', 'None']","[15920, 27360, 15120, 32080]","[3, 4, 5, 4]",Adult,Female,4,361120,31.8048291180053
651,"['Approach', 'None']","[2800, 56560]","[3, 4]",Adult,Female,2,234640,20.47717990972272
652,"['Pass', 'None']","[9360, 50080]","[1, 4]",Adult,Male,2,209680,18.241742494805475
654,"['Approach', 'None', 'Touch', 'None']","[4480, 0, 23520, 4960]","[3, 4, 5, 4]",Adult,Male,4,150880,12.975567815433116
655,"['Approach', 'None', 'Touch', 'None']","[8160, 32960, 4480, 74080]","[3, 4, 5, 4]",Adult,Male,4,475040,42.00759475531991
657,"['Approach', 'None']","[17600, 17120]","[3, 4]",Child,Male,2,121280,10.324568316973561
659,"['Approach', 'None']","[9760, 21040]","[3, 4]",Child,Male,2,113440,9.622411693057249
660,"['Approach', 'Touch', 'None', 'Touch', 'None']","[8000, 24720, 31920, 2720, 26480]","[3, 5, 4, 5, 4]",Child,Male,5,394800,34.82123665544171
661,"['Approach', 'Touch', 'None']","[5280, 5280, 28480]","[3, 5, 4]",Child,Male,3,156160,13.448448807050225
663,"['Approach', 'None']","[8800, 25440]","[3, 4]",Adult,Male,2,128160,10.940746578777674
664,"['Approach', 'None', 'Touch', 'None']","[3760, 4160, 2000, 12320]","[3, 4, 5, 4]",Adult,Male,4,87200,7.272336461990399
665,"['Approach', 'None']","[3360, 6480]","[3, 4]",Adult,Male,2,36000,2.686823816006305
666,"['Approach', 'None']","[3360, 1280]","[3, 4]",Adult,Male,2,15200,0.8239593035752668
667,"['Approach', 'Touch', 'None', 'Touch']","[2320, 39280, 1920, 10880]","[3, 5, 4, 5]",Adult,Male,4,265440,23.235652360822527
669,"['Approach', 'None']","[4000, 1440]","[3, 4]",Child,Male,2,17760,1.0532349358744717
670,"['Approach', 'None']","[3360, 10720]","[3, 4]",Child,Male,2,52960,4.205774879988536
671,"['Approach', 'None']","[2720, 3040]","[3, 4]",Child,Male,2,20320,1.2825105681736761
672,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[2320, 10080, 2160, 9920, 2880, 8560, 2480, 34480, 3120, 6800, 2560, 11920]","[3, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]",Child,Male,12,400000,35.286952783549474
673,"['Approach', 'None']","[3600, 6080]","[3, 4]",Child,Male,2,35120,2.6080103174034535
674,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[3200, 17680, 5120, 2800, 2160, 3360, 3840, 13120]","[3, 4, 5, 4, 5, 4, 5, 4]",Child,Male,8,213040,18.54266676219818
675,"['Approach', 'Touch']","[4960, 17120]","[3, 5]",Child,Male,2,100480,8.461703804542523
676,"['Approach', 'Touch']","[13360, 27520]","[3, 5]",Child,Male,2,177680,15.375797091065415
679,"['Approach', 'None']","[17280, 16480]","[3, 4]",Adult,Female,2,117760,10.009314322562156
682,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[5360, 2560, 18800, 5440, 3200, 1760]","[3, 4, 5, 4, 5, 4]",Adult,Male,6,165120,14.250913520097441
685,"['Approach', 'None']","[6320, 29160]","[3, 4]",Child,Female,2,135600,11.607078885147237
688,"['Approach', 'None']","[2240, 2160]","[3, 4]",Adult,Male,2,15360,0.8382890305939672
696,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[13040, 7520, 2160, 15360, 3440, 12880, 12440, 4160, 2320, 7760, 3200, 19520]","[3, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]",Adult,Male,12,425720,37.59045640180555
697,"['Approach', 'None']","[2160, 8800]","[3, 4]",Adult,Male,2,41680,3.1955291251701654
699,"['Approach', 'None']","[13360, 2160]","[3, 4]",Child,Male,2,48720,3.8260371139929785
700,"['Approach', 'Touch', 'None', 'Touch', 'None']","[1360, 3360, 10800, 1680, 29520]","[3, 5, 4, 5, 4]",Child,Male,5,190560,16.52934011607079
701,"['Approach', 'Touch', 'None', 'Touch', 'None']","[1920, 1600, 4160, 1680, 8560]","[3, 5, 4, 5, 4]",Child,Male,5,73040,6.004155620835423
702,"['Approach', 'None', 'Touch', 'None']","[1280, 4640, 2080, 17520]","[3, 4, 5, 4]",Child,Male,4,102880,8.676649709823028
709,"['Pass', 'None']","[3760, 2560]","[1, 4]",Child,Female,2,14000,0.7164863509350147
712,"['Approach', 'None']","[5120, 5280]","[3, 4]",Child,Male,2,36480,2.7298129970624063
729,"['Pass', 'Gesture']","[5760, 3440]","[1, 5]",Child,Male,2,22960,1.5189510639822312
731,"['Approach', 'Gesture', 'None']","[8080, 5680, 960]","[3, 5, 4]",Child,Male,3,56480,4.521028874399943
732,"['Approach', 'Gesture', 'None']","[1760, 14640, 7680]","[3, 5, 4]",Child,Male,3,109200,9.24267392706169
733,"['Approach', 'None', 'None']","[1920, 5440, 33840]","[3, 4, 4]",Child,Male,3,162880,14.050297341835638
734,"['Approach', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None']","[2240, 1920, 23440, 1200, 1760, 1440, 11760, 2320, 21840, 1440, 800, 3520, 2240]","[3, 5, 4, 5, 5, 4, 5, 5, 4, 5, 4, 5, 4]",Child,Male,13,325360,28.602135129325784
735,"['Approach', 'None', 'Gesture', 'Touch']","[3200, 480, 1520, 1520]","[3, 4, 5, 5]",Child,Male,4,26720,1.8556996489216881
736,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[6800, 7120, 21920, 2400, 6720, 4720, 18360, 1680, 18280, 3120, 29040, 2400, 28720]","[3, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]",Child,Male,13,619760,54.968832843734326
737,"['Approach', 'None']","[4640, 4240]","[3, 4]",Child,Male,2,30880,2.228272551407896
738,"['Approach', 'Touch', 'Gesture', 'Touch', 'None', 'Touch', 'None']","[6080, 2080, 7760, 3040, 8720, 1760, 33200]","[3, 5, 5, 5, 4, 5, 4]",Child,Male,7,259120,22.669628143583864
740,"['Approach', 'None']","[12400, 42800]","[3, 4]",Adult,Female,2,208400,18.127104678655872
741,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'None']","[13520, 12720, 3120, 13280, 1840, 2000, 4160, 17040, 72400]","[3, 4, 5, 4, 5, 4, 5, 4, 4]",Adult,Male,9,555920,49.25127176327291
744,"['Approach', 'None']","[20160, 3200]","[3, 4]",Adult,Male,2,73280,6.025650211363474
745,"['Approach', 'None']","[8080, 72640]","[3, 4]",Adult,Male,2,314800,27.656373146091568
748,"['Approach', 'None', 'Gesture', 'None']","[7360, 3280, 1760, 720]","[3, 4, 5, 4]",Child,Female,4,46880,3.661245253277925
749,"['Approach', 'Touch', 'None']","[12000, 3600, 8400]","[3, 5, 4]",Child,Female,3,87600,7.3081607795371495
751,"['Approach', 'None']","[3600, 2080]","[3, 4]",Child,Female,2,19120,1.1750376155334241
753,"['Approach', 'None']","[3600, 49360]","[3, 4]",Child,Female,2,208240,18.11277495163717
754,"['Approach', 'None', 'Touch']","[3360, 400, 3440]","[3, 4, 5]",Child,Female,3,28880,2.0491509636741423
757,"['Approach', 'None']","[4560, 2880]","[3, 4]",Child,Female,2,25200,1.7195672422440351
759,"['Approach', 'None', 'Gesture', 'None', 'Gesture', 'None']","[6800, 2560, 2080, 5840, 2720, 12480]","[3, 4, 5, 4, 5, 4]",Adult,Female,6,127920,10.919251988249625
760,"['Approach', 'None']","[10720, 960]","[3, 4]",Adult,Male,2,36000,2.686823816006305
761,"['Approach', 'None']","[2080, 15120]","[3, 4]",Adult,Male,2,66720,5.438131403596762
762,"['Approach', 'None']","[11840, 1120]","[3, 4]",Child,Female,2,40000,3.0450669914738127
763,"['Approach', 'None']","[3680, 14640]","[3, 4]",Child,Female,2,69600,5.696066489933367
764,"['Approach', 'Gesture']","[2320, 4080]","[3, 5]",Child,Female,2,27360,1.9130185569964893
766,"['Approach', 'Touch', 'None']","[3040, 2080, 4880]","[3, 5, 4]",Child,Male,3,39040,2.9590886293616108
767,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch']","[8000, 2960, 17440, 20640, 3920, 16320]","[3, 5, 4, 5, 4, 5]",Child,Male,6,309040,27.140502973418357
768,"['Pass', 'None']","[16320, 10880]","[1, 4]",Adult,Female,2,59840,4.8219531417926484
771,"['Approach', 'Gesture']","[5040, 1680]","[3, 5]",Adult,Female,2,23520,1.5691051085476821
774,"['Approach', 'Gesture']","[5040, 3280]","[3, 5]",Child,Female,2,31520,2.2855914594826965
775,"['Approach', 'Gesture']","[3760, 6060]","[3, 5]",Child,Male,2,41580,3.186573045783478
779,"['Approach', 'None', 'Touch', 'None']","[18000, 21920, 3680, 24960]","[3, 4, 5, 4]",Adult,Male,4,259920,22.741276778677367
780,"['Approach', 'None']","[14720, 53920]","[3, 4]",Child,Female,2,259840,22.734111915168015
781,"['Approach', 'None']","[3840, 4640]","[3, 4]",Child,Female,2,30080,2.1566239163143943
782,"['Approach', 'Touch', 'None', 'Touch', 'None']","[800, 2800, 23760, 2880, 11600]","[3, 5, 4, 5, 4]",Child,Female,5,172240,14.888586372429605
783,"['Approach', 'None']","[5840, 23400]","[3, 4]",Child,Female,2,111120,9.414630651286092
784,"['Approach', 'None']","[3360, 5680]","[3, 4]",Child,Female,2,32800,2.400229275632299
785,"['Approach', 'None', 'Touch', 'None']","[4000, 560, 2800, 7600]","[3, 4, 5, 4]",Child,Female,4,58640,4.714480189152397
786,"['Approach', 'None']","[1440, 14240]","[3, 4]",Child,Female,2,61280,4.950920684960951
787,"['Approach', 'None']","[560, 34960]","[3, 4]",Child,Female,2,141520,12.137278784839149
