pid,code,A/C,M/F,duration,engagement_score,norm_engagement_score,engagement_level
644,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",Adult,Female,72080,4.157602663706992,7.942012051260106,mid
645,"['Approach', 'None']",Adult,Female,10560,3.5,6.2880077839941615,mid
646,"['Approach', 'None']",Adult,Female,64480,3.962779156327543,7.451991358897299,mid
647,"['Approach', 'None']",Adult,Female,5600,3.7,6.791048406713695,mid
648,['Pass'],Adult,Female,19360,1.0,0.0,low
649,['Pass'],Adult,Female,6880,1.0,0.0,low
650,"['Approach', 'None', 'Touch', 'None']",Adult,Female,90480,3.991158267020336,7.523370586472943,mid
651,"['Approach', 'None']",Adult,Female,59360,3.952830188679245,7.426967684491217,mid
652,"['Pass', 'None']",Adult,Male,59440,3.5275908479138627,6.357404370573909,mid
653,['Approach'],Adult,Male,16640,3.0,5.03040622719533,mid
654,"['Approach', 'None', 'Touch', 'None']",Adult,Male,32960,4.577669902912621,8.99856647923048,high
655,"['Approach', 'None', 'Touch', 'None']",Adult,Male,119680,3.969251336898396,7.468270207620873,mid
656,['Pass'],Adult,Male,13440,1.0,0.0,low
657,"['Approach', 'None']",Child,Male,34720,3.493087557603687,6.270621587356391,mid
658,['Approach'],Child,Male,9440,3.0,5.03040622719533,mid
659,"['Approach', 'None']",Child,Male,30800,3.6831168831168832,6.748583938562046,mid
660,"['Approach', 'Touch', 'None', 'Touch', 'None']",Child,Male,93840,4.207161125319693,8.066661648213483,high
661,"['Approach', 'Touch', 'None']",Child,Male,39040,4.0,7.545609340792994,mid
662,['Pass'],Adult,Male,19120,1.0,0.0,low
663,"['Approach', 'None']",Adult,Male,34240,3.742990654205608,6.89917863402724,mid
664,"['Approach', 'None', 'Touch', 'None']",Adult,Male,22240,3.920863309352518,7.346564490076632,mid
665,"['Approach', 'None']",Adult,Male,9840,3.658536585365854,6.686759497125499,mid
666,"['Approach', 'None']",Adult,Male,4640,3.2758620689655173,5.724255361980893,mid
667,"['Approach', 'Touch', 'None', 'Touch']",Adult,Male,54400,4.879411764705882,9.757508549515643,high
668,['Pass'],Child,Male,9680,1.0,0.0,low
669,"['Approach', 'None']",Child,Male,5440,3.264705882352941,5.696195286677064,mid
670,"['Approach', 'None']",Child,Male,14080,3.761363636363636,6.945390415957188,mid
671,"['Approach', 'None']",Child,Male,5760,3.5277777777777777,6.357874537149653,mid
672,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",Child,Male,97280,4.111842105263158,7.826914952182208,mid
673,"['Approach', 'None']",Child,Male,9680,3.628099173553719,6.610203224165764,mid
674,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",Child,Male,51280,4.154446177847114,7.934072848197315,mid
675,"['Approach', 'Touch']",Child,Male,22080,4.550724637681159,8.930793664223591,high
676,"['Approach', 'Touch']",Child,Male,40880,4.346379647749511,8.416824509299426,high
677,['Pass'],Child,Female,12640,1.0,0.0,low
678,['Pass'],Adult,Female,16400,1.0,0.0,low
679,"['Approach', 'None']",Adult,Female,33760,3.488151658767772,6.258206799235895,mid
680,['Pass'],Adult,Male,17120,1.0,0.0,low
681,['Pass'],Adult,Male,12720,1.0,0.0,low
682,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']",Adult,Male,37120,4.448275862068965,8.673114184819532,high
683,['Pass'],Adult,Male,7680,1.0,0.0,low
684,['Pass'],Child,Female,12880,1.0,0.0,low
685,"['Approach', 'None']",Child,Female,35480,3.821871476888388,7.097579924842114,mid
686,['Pass'],Adult,Male,15320,1.0,0.0,low
687,['Pass'],Child,Male,12200,1.0,0.0,low
688,"['Approach', 'None']",Adult,Male,4400,3.4909090909090907,6.265142301143274,mid
689,['Pass'],Adult,Male,14000,1.0,0.0,low
690,['Pass'],Child,Male,15200,1.0,0.0,low
691,['Pass'],Adult,Male,24080,1.0,0.0,low
692,['Pass'],Child,Male,19600,1.0,0.0,low
693,['Pass'],Child,Male,21360,1.0,0.0,low
694,['Pass'],Adult,Male,17440,1.0,0.0,low
695,['Pass'],Child,Male,21680,1.0,0.0,low
696,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",Adult,Male,103800,4.101348747591523,7.800522026294415,mid
697,"['Approach', 'None']",Adult,Male,10960,3.802919708029197,7.049912376799295,mid
698,['Pass'],Adult,Male,12000,1.0,0.0,low
699,"['Approach', 'None']",Child,Male,15520,3.139175257731959,5.380460268778511,mid
700,"['Approach', 'Touch', 'None', 'Touch', 'None']",Child,Male,46720,4.078767123287672,7.743724654535277,mid
701,"['Approach', 'Touch', 'None', 'Touch', 'None']",Child,Male,17920,4.075892857142857,7.73649529137853,mid
702,"['Approach', 'None', 'Touch', 'None']",Child,Male,25520,4.031347962382445,7.624455833382262,mid
703,['Pass'],Child,Male,14960,1.0,0.0,low
704,['Pass'],Adult,Female,13920,1.0,0.0,low
705,['Pass'],Adult,Male,19680,1.0,0.0,low
706,['Pass'],Adult,Male,8640,1.0,0.0,low
707,['Pass'],Child,Female,7360,1.0,0.0,low
708,['Pass'],Child,Female,5520,1.0,0.0,low
709,"['Pass', 'None']",Child,Female,6320,2.2151898734177213,3.0564493532326047,low
710,['Pass'],Child,Male,14640,1.0,0.0,low
711,['Pass'],Child,Male,8160,1.0,0.0,low
712,"['Approach', 'None']",Child,Male,10400,3.507692307692308,6.307355500252605,mid
713,['Pass'],Child,Male,5840,1.0,0.0,low
714,['Pass'],Child,Male,3840,1.0,0.0,low
715,['Pass'],Child,Male,6880,1.0,0.0,low
716,['Pass'],Child,Male,10480,1.0,0.0,low
717,['Pass'],Child,Male,10960,1.0,0.0,low
718,['Pass'],Child,Male,20160,1.0,0.0,low
719,['Pass'],Child,Male,6480,1.0,0.0,low
720,['Pass'],Child,Male,12080,1.0,0.0,low
721,['Pass'],Child,Male,12960,1.0,0.0,low
722,['Pass'],Adult,Male,13280,1.0,0.0,low
723,['Pass'],Adult,Male,9600,1.0,0.0,low
724,['Pass'],Adult,Male,9920,1.0,0.0,low
725,['Pass'],Adult,Male,12640,1.0,0.0,low
726,['Pass'],Adult,Male,13040,1.0,0.0,low
727,['Pass'],Adult,Male,11360,1.0,0.0,low
728,['Pass'],Child,Male,5360,1.0,0.0,low
729,"['Pass', 'Gesture']",Child,Male,9200,2.495652173913044,3.7618690046852032,low
730,['Pass'],Adult,Male,7440,1.0,0.0,low
731,"['Approach', 'Gesture', 'None']",Child,Male,14720,3.8369565217391295,7.135521876619462,mid
732,"['Approach', 'Gesture', 'None']",Child,Male,24080,4.534883720930232,8.890950541089417,high
733,"['Approach', 'None', 'None']",Child,Male,41200,3.9533980582524273,7.428395991809802,mid
734,"['Approach', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None']",Child,Male,75920,4.285563751317177,8.263860177236587,high
735,"['Approach', 'None', 'Gesture', 'Touch']",Child,Male,6720,3.976190476190476,7.485723552374001,mid
736,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",Child,Male,151280,4.096774193548387,7.7890160937218,mid
737,"['Approach', 'None']",Child,Male,8880,3.477477477477477,6.23135906521944,mid
738,"['Approach', 'Touch', 'Gesture', 'Touch', 'None', 'Touch', 'None']",Child,Male,62640,4.136653895274584,7.889321643672877,mid
