,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_level,encoded_code,duration_sum
472,"['Approach', 'Touch', 'Gesture', 'Touch', 'None', 'Touch', 'None']",7,"[3, 5, 5, 5, 4, 5, 4]","[6080, 2080, 7760, 3040, 8720, 1760, 33200]","[0.0970625798212005, 0.033205619412515965, 0.12388250319284802, 0.04853128991060025, 0.1392081736909323, 0.0280970625798212, 0.5300127713920817]",Child,Male,"민트색 상의, 검정색 조끼, 민트색 바지",high,8212424000000000000000,62640
473,"['Approach', 'None']",2,"[3, 4]","[12400, 42800]","[0.2246376811594203, 0.7753623188405797]",Adult,Female,"회색 상의, 베이지색 조끼, 회색 치마",low,8400000000000000000000,55200
474,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'None']",9,"[3, 4, 5, 4, 5, 4, 5, 4, 4]","[13520, 12720, 3120, 13280, 1840, 2000, 4160, 17040, 72400]","[0.09651627641347801, 0.09080525414049115, 0.02227298686464877, 0.09480296973158195, 0.013135351227869789, 0.014277555682467162, 0.029697315819531698, 0.12164477441462021, 0.5168475157053113]",Adult,Male,"흰색 상의, 베이지색 바지",low,8424242440000000000000,140080
475,"['Approach', 'None']",2,"[3, 4]","[20160, 3200]","[0.863013698630137, 0.136986301369863]",Adult,Male,"남색 점퍼, 회색바지",low,8400000000000000000000,23360
476,"['Approach', 'None']",2,"[3, 4]","[8080, 72640]","[0.10009910802775025, 0.8999008919722498]",Adult,Male,"남색 점퍼, 회색바지",low,8400000000000000000000,80720
477,"['Approach', 'None', 'Gesture', 'None']",4,"[3, 4, 5, 4]","[7360, 3280, 1760, 720]","[0.5609756097560976, 0.25, 0.13414634146341464, 0.054878048780487805]",Child,Female,"분홍색 점퍼, 분홍색 바지",low,8414000000000000000000,13120
478,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[12000, 3600, 8400]","[0.5, 0.15, 0.35]",Child,Female,"분홍색 점퍼, 분홍색 바지",low,8240000000000000000000,24000
479,"['Approach', 'None']",2,"[3, 4]","[3600, 2080]","[0.6338028169014085, 0.36619718309859156]",Child,Female,"분홍색 점퍼, 분홍색 바지",low,8400000000000000000000,5680
480,"['Approach', 'None']",2,"[3, 4]","[3600, 49360]","[0.06797583081570997, 0.93202416918429]",Child,Female,"분홍색 점퍼, 분홍색 바지",low,8400000000000000000000,52960
481,"['Approach', 'None', 'Touch']",3,"[3, 4, 5]","[3360, 400, 3440]","[0.4666666666666667, 0.05555555555555555, 0.4777777777777778]",Child,Female,"분홍색 점퍼, 분홍색 바지",high,8420000000000000000000,7200
482,"['Approach', 'None']",2,"[3, 4]","[4560, 2880]","[0.6129032258064516, 0.3870967741935484]",Child,Female,"크로스백, 검은색 롱패딩, 청바지",low,8400000000000000000000,7440
483,"['Approach', 'None', 'Gesture', 'None', 'Gesture', 'None']",6,"[3, 4, 5, 4, 5, 4]","[6800, 2560, 2080, 5840, 2720, 12480]","[0.20935960591133004, 0.07881773399014778, 0.06403940886699508, 0.17980295566502463, 0.08374384236453201, 0.3842364532019704]",Adult,Female,"빨간색 롱패딩, 검은색 바지",low,8414140000000000000000,32480
484,"['Approach', 'None']",2,"[3, 4]","[10720, 960]","[0.9178082191780822, 0.0821917808219178]",Adult,Male,"빨간색 패딩, 검은색바지",low,8400000000000000000000,11680
485,"['Approach', 'None']",2,"[3, 4]","[2080, 15120]","[0.12093023255813953, 0.8790697674418605]",Adult,Male,"빨간색 패딩, 검은색바지",low,8400000000000000000000,17200
486,"['Approach', 'None']",2,"[3, 4]","[11840, 1120]","[0.9135802469135802, 0.08641975308641975]",Child,Female,"분홍색 패딩, 검은색 바지",low,8400000000000000000000,12960
487,"['Approach', 'None']",2,"[3, 4]","[3680, 14640]","[0.20087336244541484, 0.7991266375545851]",Child,Female,"분홍색 패딩, 검은색 바지",low,8400000000000000000000,18320
488,"['Approach', 'Gesture']",2,"[3, 5]","[2320, 4080]","[0.3625, 0.6375]",Child,Female,"분홍색 패딩, 검은색 바지",high,8100000000000000000000,6400
489,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[3040, 2080, 4880]","[0.304, 0.208, 0.488]",Child,Male,"검은색 패딩, 검은색 바지",low,8240000000000000000000,10000
490,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch']",6,"[3, 5, 4, 5, 4, 5]","[8000, 2960, 17440, 20640, 3920, 16320]","[0.11547344110854503, 0.042725173210161664, 0.2517321016166282, 0.2979214780600462, 0.05658198614318707, 0.23556581986143188]",Child,Male,"검은색 패딩, 검은색 바지",high,8242420000000000000000,69280
492,"['Approach', 'Gesture']",2,"[3, 5]","[5040, 1680]","[0.75, 0.25]",Adult,Female,"빨간색 롱패딩, 검은색 바지",low,8100000000000000000000,6720
493,"['Approach', 'Gesture']",2,"[3, 5]","[5040, 3280]","[0.6057692307692307, 0.3942307692307692]",Child,Female,"분홍색 패딩, 검은색 바지",low,8100000000000000000000,8320
494,"['Approach', 'Gesture']",2,"[3, 5]","[3760, 6060]","[0.38289205702647655, 0.6171079429735234]",Child,Male,"검은색 패딩, 검은색 바지",high,8100000000000000000000,9820
495,"['Approach', 'None', 'Touch', 'None']",4,"[3, 4, 5, 4]","[18000, 21920, 3680, 24960]","[0.26254375729288215, 0.31971995332555425, 0.05367561260210035, 0.36406067677946324]",Adult,Male,"빨간색 패딩, 검은색바지",low,8424000000000000000000,68560
496,"['Approach', 'None']",2,"[3, 4]","[14720, 53920]","[0.21445221445221446, 0.7855477855477856]",Child,Female,"분홍색 패딩(흰색/검은색 상의), 검은색 바지",low,8400000000000000000000,68640
497,"['Approach', 'None']",2,"[3, 4]","[3840, 4640]","[0.4528301886792453, 0.5471698113207547]",Child,Female,"분홍색 패딩(흰색/검은색 상의), 검은색 바지",low,8400000000000000000000,8480
498,"['Approach', 'Touch', 'None', 'Touch', 'None']",5,"[3, 5, 4, 5, 4]","[800, 2800, 23760, 2880, 11600]","[0.019120458891013385, 0.06692160611854685, 0.5678776290630975, 0.06883365200764818, 0.27724665391969405]",Child,Female,"분홍색 패딩(흰색/검은색 상의), 검은색 바지",high,8242400000000000000000,41840
499,"['Approach', 'None']",2,"[3, 4]","[5840, 23400]","[0.1997264021887825, 0.8002735978112175]",Child,Female,"분홍색 패딩(흰색/검은색 상의), 검은색 바지",low,8400000000000000000000,29240
500,"['Approach', 'None']",2,"[3, 4]","[3360, 5680]","[0.37168141592920356, 0.6283185840707964]",Child,Female,"분홍색 패딩(흰색/검은색 상의), 검은색 바지",low,8400000000000000000000,9040
501,"['Approach', 'None', 'Touch', 'None']",4,"[3, 4, 5, 4]","[4000, 560, 2800, 7600]","[0.26737967914438504, 0.0374331550802139, 0.18716577540106952, 0.5080213903743316]",Child,Female,"분홍색 패딩(흰색/검은색 상의), 검은색 바지",low,8424000000000000000000,14960
502,"['Approach', 'None']",2,"[3, 4]","[1440, 14240]","[0.09183673469387756, 0.9081632653061225]",Child,Female,"분홍색 패딩(흰색/검은색 상의), 검은색 바지",low,8400000000000000000000,15680
503,"['Approach', 'None']",2,"[3, 4]","[560, 34960]","[0.015765765765765764, 0.9842342342342343]",Child,Female,"분홍색 패딩(흰색/검은색 상의), 검은색 바지",high,8400000000000000000000,35520
505,"['Approach', 'None']",2,"[3, 4]","[3200, 1680]","[0.6557377049180327, 0.3442622950819672]",Child,Female,"분홍색 패딩(흰색/검은색 상의), 검은색 바지",low,8400000000000000000000,4880
506,"['Approach', 'None']",2,"[3, 4]","[6160, 800]","[0.8850574712643678, 0.11494252873563218]",Child,Female,"분홍색 패딩(흰색/검은색 상의), 검은색 바지",low,8400000000000000000000,6960
507,"['Approach', 'None']",2,"[3, 4]","[2080, 1120]","[0.65, 0.35]",Child,Female,"분홍색 패딩(흰색/검은색 상의), 검은색 바지",low,8400000000000000000000,3200
508,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",7,"[3, 5, 4, 5, 4, 5, 4]","[4080, 6720, 20240, 2320, 11920, 2640, 14880]","[0.06496815286624204, 0.1070063694267516, 0.32229299363057323, 0.03694267515923567, 0.18980891719745224, 0.04203821656050955, 0.23694267515923567]",Child,Male,"검은색 패딩(빨간색 상의), 검은색 바지",high,8242424000000000000000,62800
509,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[2640, 1760, 15280]","[0.13414634146341464, 0.08943089430894309, 0.7764227642276422]",Child,Male,"검은색 패딩(빨간색 상의), 검은색 바지",low,8240000000000000000000,19680
510,"['Approach', 'None']",2,"[3, 4]","[6400, 2720]","[0.7017543859649122, 0.2982456140350877]",Child,Male,"검은색 패딩(빨간색 상의), 검은색 바지",low,8400000000000000000000,9120
511,"['Approach', 'Touch', 'None']",3,"[3, 5, 4]","[1600, 1360, 10400]","[0.11976047904191617, 0.10179640718562874, 0.7784431137724551]",Child,Male,"검은색 패딩(빨간색 상의), 검은색 바지",high,8240000000000000000000,13360
512,"['Approach', 'None']",2,"[3, 4]","[10560, 6560]","[0.616822429906542, 0.38317757009345793]",Child,Male,"검은색 패딩(빨간색 상의), 검은색 바지",low,8400000000000000000000,17120
513,"['Approach', 'None']",2,"[3, 4]","[2560, 1840]","[0.5818181818181818, 0.41818181818181815]",Child,Male,"검은색 패딩(빨간색 상의), 검은색 바지",low,8400000000000000000000,4400
514,"['Approach', 'Touch', 'None', 'Touch', 'None']",5,"[3, 5, 4, 5, 4]","[2080, 2000, 8000, 3040, 8160]","[0.08934707903780069, 0.0859106529209622, 0.3436426116838488, 0.13058419243986255, 0.35051546391752575]",Child,Male,"검은색 패딩(빨간색 상의), 검은색 바지",high,8242400000000000000000,23280
515,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']",7,"[3, 5, 4, 5, 4, 5, 4]","[9520, 3440, 9200, 22240, 16560, 6320, 6960]","[0.12823275862068967, 0.04633620689655173, 0.12392241379310345, 0.2995689655172414, 0.22306034482758622, 0.08512931034482758, 0.09375]",Child,Male,"검은색 패딩(빨간색 상의), 검은색 바지",high,8242424000000000000000,74240
516,"['Approach', 'None', 'Touch']",3,"[3, 4, 5]","[2000, 4560, 6320]","[0.15527950310559005, 0.35403726708074534, 0.4906832298136646]",Child,Male,"검은색 패딩(빨간색 상의), 검은색 바지",high,8420000000000000000000,12880
523,"['Approach', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch']",11,"[3, 5, 4, 5, 5, 4, 5, 4, 5, 4, 5]","[5680, 4640, 2240, 2800, 2800, 1440, 2400, 29200, 16480, 8560, 13520]","[0.06327985739750445, 0.05169340463458111, 0.024955436720142603, 0.031194295900178252, 0.031194295900178252, 0.016042780748663103, 0.026737967914438502, 0.3253119429590018, 0.1836007130124777, 0.09536541889483066, 0.15062388591800357]",Child,Male,"검은색 패딩(빨간색 상의), 검은색 바지",high,8241242424200000000000,89760
524,"['Approach', 'None', 'None']",3,"[3, 4, 4]","[15280, 19280, 36480]","[0.21509009009009009, 0.2713963963963964, 0.5135135135135135]",Adult,Female,"검은색 롱패딩, 베이지색 바지",low,8440000000000000000000,71040
525,"['Approach', 'Touch', 'None', 'None']",4,"[3, 5, 4, 4]","[13120, 2680, 13920, 36960]","[0.1967606478704259, 0.04019196160767846, 0.20875824835032994, 0.5542891421715657]",Child,Female,"크로스백, 검은색 롱패딩, 청바지",low,8244000000000000000000,66680
526,"['Approach', 'None']",2,"[3, 4]","[6400, 1520]","[0.8080808080808081, 0.1919191919191919]",Child,Male,"회색 상의, 검은색 바지",low,8400000000000000000000,7920
527,"['Approach', 'None']",2,"[3, 4]","[3680, 1840]","[0.6666666666666666, 0.3333333333333333]",Child,Male,"빨간색 상의, 검은색 조끼 패딩, 검은색 바지",low,8400000000000000000000,5520
528,"['Approach', 'Gesture']",2,"[3, 5]","[2000, 1520]","[0.5681818181818182, 0.4318181818181818]",Child,Male,"흰색/검은색 줄무늬 상의, 검은색 바지",low,8100000000000000000000,3520
529,"['Approach', 'None']",2,"[3, 4]","[1360, 480]","[0.7391304347826086, 0.2608695652173913]",Child,Male,"흰색/검은색 줄무늬 상의, 검은색 바지",low,8400000000000000000000,1840
