pid,code,duration,code_score,A/C,M/F,code_count,engagement_score,norm_engagement_score
1040,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[2160, 22720, 3120, 720, 34080, 13680, 3840, 34160, 1760, 480, 9680, 38000, 11920, 8960, 6480, 1840, 23280, 1680, 7280, 15360, 2480, 11520]","[0, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]",Child,Male,22,1116080,100.0
1041,"['Approach', 'Touch', 'None']","[1680, 2480, 2320]","[0, 5, 4]",Child,Male,3,21680,1.7735334242837655
1042,"['Avoid', 'None']","[5360, 18000]","[2, 4]",Child,Male,2,82720,7.2521002369498095
1043,"['Approach', 'Gesture', 'Gesture', 'None', 'None']","[8320, 2880, 3440, 0, 3360]","[0, 5, 5, 4, 4]",Child,Male,5,45040,3.8701802254613336
1045,"['Approach', 'None']","[10560, 8720]","[0, 4]",Adult,Female,2,34880,2.958282472894378
1046,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[3200, 5200, 4720, 12960, 17600, 5280, 2880, 44880, 3840, 16080]","[0, 4, 5, 4, 5, 4, 5, 4, 5, 4]",Adult,Female,10,482800,43.16076685574783
1047,"['Approach', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None']","[4320, 3760, 3920, 8640, 2080, 7040, 2320, 52960]","[0, 4, 5, 4, 5, 4, 5, 4]",Adult,Female,8,331200,29.55410353988655
1048,"['Approach', 'None', 'Gesture', 'None']","[5120, 17680, 4160, 18560]","[0, 4, 5, 4]",Adult,Female,4,165760,14.705248797300207
1049,"['Approach', 'Touch', 'None']","[4480, 3360, 4400]","[0, 5, 4]",Adult,Female,3,34400,2.9152006893085374
1054,"['Approach', 'None']","[9120, 48240]","[0, 4]",Adult,Male,2,192960,17.146549867164502
1055,"['Approach', 'None']","[3680, 15840]","[0, 4]",Adult,Male,2,63360,5.514468298987578
1057,"['Approach', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Gesture', 'None', 'Touch', 'None', 'Touch', 'None']","[5760, 26720, 5200, 16640, 3680, 160, 2960, 640, 3200, 12560, 3120, 12240, 2320, 83760]","[0, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4, 5, 4]",Adult,Male,14,713280,63.847203274215545
1058,"['Approach', 'None', 'Gesture', 'None', 'None']","[4640, 102400, 2240, 29920, 9680]","[0, 4, 5, 4, 4]",Adult,Male,5,579200,51.81302505923745
1060,"['Approach', 'None']","[15280, 4480]","[0, 4]",Child,Male,2,17920,1.4360594528613486
1061,"['Approach', 'None', 'Touch', 'None', 'Touch']","[1920, 3520, 24080, 1520, 7200]","[0, 4, 5, 4, 5]",Child,Male,5,176560,15.67458892798162
