pid,code,code_count,code_score,duration,time_ratio,A/C,M/F,appearance,engagement_score,norm_engagement_score,engagement_level
206,"['Approach', 'None', 'Gesture']",3,"[3, 4, 5]","[3360, 71040, 12680]","[0.03858520900321544, 0.8158015617822691, 0.1456132292145154]",Child,Female,"검정색 상의, 차콜색 바지",4.1070280202113,73.8654084435168,high
207,"['Approach', 'None']",2,"[3, 4]","[10000, 22760]","[0.3052503052503053, 0.6947496947496947]",Child,Male,"회색 후드, 회색 트레이닝 바지, 검정색 운동화",3.694749694749695,61.463475107773014,low
208,"['Approach', 'None']",2,"[3, 4]","[9040, 2960]","[0.7533333333333333, 0.24666666666666667]",Child,Male,"회색 후드, 회색 트레이닝 바지, 검정색 운동화",3.2466666666666666,47.9844840961986,low
209,"['Approach', 'None']",2,"[3, 4]","[15920, 8560]","[0.6503267973856209, 0.34967320261437906]",Child,Female,"빨간색 상의, 청바지, 흰색 운동화",3.349673202614379,51.08307093201905,low
210,"['Approach', 'None']",2,"[3, 4]","[8960, 37040]","[0.19478260869565217, 0.8052173913043478]",Child,Female,"빨간색 상의, 청바지, 흰색 운동화",3.805217391304348,64.78650453671536,low
211,"['Approach', 'Gesture']",2,"[3, 5]","[18160, 45360]","[0.2858942065491184, 0.7141057934508817]",Child,Female,"반묶음 머리, 체크무늬 상의, 검정색 바지",4.428211586901764,83.52707857417835,high
212,"['Approach', 'Touch']",2,"[3, 5]","[6480, 49040]","[0.11671469740634005, 0.8832853025936599]",Child,Male,"검정 모자, 파란색 상의, 검정 조끼, 파란색 바지",4.76657060518732,93.7054113391298,high
215,"['Follow', 'Touch']",2,"[2, 5]","[13840, 19600]","[0.4138755980861244, 0.5861244019138756]",Child,Male,"검정 모자, 파란색 상의, 검정 조끼, 파란색 바지",3.7583732057416266,63.37736311298027,low
216,"['Approach', 'None']",2,"[3, 4]","[4640, 11280]","[0.2914572864321608, 0.7085427135678392]",Child,Female,"베이지색 상의, 청바지, 흰색 운동화",3.708542713567839,61.87838923087119,low
217,"['Approach', 'Touch']",2,"[3, 5]","[4080, 52560]","[0.07203389830508475, 0.9279661016949152]",Child,Female,"베이지색 상의, 청바지, 흰색 운동화",4.8559322033898304,96.39353854650167,high
218,"['Approach', 'Touch']",2,"[3, 5]","[2880, 86720]","[0.03214285714285714, 0.9678571428571429]",Child,Female,"베이지색 상의, 청바지, 흰색 운동화",4.935714285714286,98.79349994458606,high
219,"['Approach', 'None']",2,"[3, 4]","[13120, 8320]","[0.6119402985074627, 0.3880597014925373]",Child,Female,"묶은 머리, 검정 상의, 흰색 조끼, 검정 바지",3.388059701492537,52.23779280478909,low
220,"['Approach', 'Touch']",2,"[3, 5]","[6160, 2640]","[0.7, 0.3]",Child,Female,"묶은 머리, 검정 상의, 흰색 조끼, 검정 바지",3.5999999999999996,58.613266097750184,low
