,code,duration,predicted_engagement_levels
176,"['Approach', 'Touch', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[8000, 3840, 2560, 2640, 9280, 9840, 5440, 4800, 3280, 2320, 8400, 3440, 22400]",low
177,"['Approach', 'None']","[6720, 10880]",high
178,"['Approach', 'None']","[3840, 3200]",high
179,"['Avoid', 'Approach', 'Touch', 'None', 'Touch', 'Avoid', 'Follow', 'Approach', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[7920, 8720, 5440, 9920, 1360, 6080, 4560, 7640, 7360, 2320, 8560, 27440, 3840, 7440, 4080, 7200]",low
180,"['Approach', 'Touch', 'Gesture', 'None', 'Touch']","[4480, 6240, 2160, 7000, 5280]",low
181,"['Approach', 'None', 'Avoid']","[3840, 7600, 4400]",low
182,"['Approach', 'None']","[10800, 43920]",high
183,"['Approach', 'None']","[6400, 12000]",high
184,"['Approach', 'None']","[4080, 49280]",high
185,"['Approach', 'None']","[9760, 11040]",high
186,"['Approach', 'Touch', 'None', 'Touch', 'None']","[2640, 12800, 1160, 6080, 11840]",low
187,"['Approach', 'Touch', 'None', 'Touch', 'None']","[3200, 9600, 12560, 5280, 3680]",low
188,"['Approach', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[12240, 5840, 48720, 2400, 2240, 26800, 3200, 8880, 5360, 25280, 2320, 640, 2800, 7760, 2480, 21920, 25600, 6080]",low
189,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'Touch', 'None']","[10480, 8080, 2160, 2000, 36000, 2880, 6320, 240, 3680, 2880, 4240, 3440, 5280, 2800, 0]",low
190,"['Approach', 'None', 'Touch', 'None', 'Touch']","[14560, 3920, 11760, 1520, 82480, 2080, 6800, 8800, 9760, 4320]",high
191,"['Approach', 'Gesture', 'Approach', 'Touch', 'Approach', 'Gesture', 'None', 'Approach', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Gesture']","[960, 2240, 12640, 2240, 2080, 25760, 24000, 4240, 2080, 2800, 50480, 5520, 40000, 13200, 4240, 15840, 3040, 1680, 5520, 2160, 3040, 10320, 7040, 8240, 5920, 5760]",low
192,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch', 'None', 'Gesture', 'Touch', 'None', 'Touch']","[10880, 1200, 2400, 880, 2320, 14880, 3840, 11440, 3120, 2160, 2760, 8280, 3360, 2160, 10800, 2400]",low
193,"['Approach', 'None']","[5120, 7840]",high
194,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Gesture', 'None']","[4080, 13360, 3600, 2080, 5680, 9760, 23600, 1680, 2240, 16560]",low
195,"['Approach', 'None']","[12240, 4000]",high
196,"['Approach', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch']","[3680, 12480, 3760, 5680, 3360, 8400, 9120]",high
197,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch']","[2320, 1040, 2080, 10080, 1840, 6720, 320, 3840]",high
198,"['Approach', 'Touch']","[1440, 1200]",low
199,"['Approach', 'Gesture']","[4240, 7200]",low
200,"['Approach', 'None', 'Touch']","[3600, 4160, 13520]",high
201,"['Approach', 'Gesture', 'Touch']","[12880, 1120, 2320]",low
202,"['Approach', 'None']","[11680, 18640]",high
203,"['Approach', 'None']","[14240, 14080]",high
204,"['Approach', 'Touch']","[4320, 13520]",low
205,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[2240, 22160, 4560, 36400, 4400, 23680]",high
206,"['Approach', 'Touch', 'None']","[3840, 1440, 20400]",low
207,"['Approach', 'None', 'Approach', 'None']","[13520, 61280, 4960, 28560]",high
208,"['Approach', 'None', 'Approach', 'None']","[12960, 26720, 3200, 16160]",high
209,"['Approach', 'Touch', 'None', 'Approach', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None']","[2800, 12320, 8480, 2560, 3440, 2080, 15760, 2400, 3520, 3280, 15760, 3520, 2640, 3680, 2640, 4000, 2800, 1360, 15920]",low
210,"['Approach', 'Touch']","[1200, 22160]",low
211,"['Approach', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None']","[15520, 24800, 3200, 30800, 2640, 17440, 15840]",high
212,"['Approach', 'Touch', 'None', 'Touch']","[7040, 6560, 11280, 10400]",low
213,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']","[7200, 21600, 4480, 8480, 4160, 2400, 1360, 2080, 8000, 2880, 4240, 3040, 10800, 1760, 4000, 2800, 3600]",low
214,"['Approach', 'None', 'Approach', 'Touch']","[2960, 12320, 1040, 3600]",high
215,"['Approach', 'None', 'Touch']","[2560, 3440, 3360]",high
216,"['Approach', 'None', 'Gesture', 'None']","[8400, 1200, 5840, 7680]",high
217,"['Approach', 'Avoid', 'Follow']","[3040, 4640, 15440]",low
218,"['Approach', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Touch', 'None']","[7440, 21040, 4240, 1920, 3760, 2080, 3280, 2640, 2960, 9280, 3760, 8560]",low
219,"['Approach', 'None']","[3520, 9520]",high
220,"['Approach', 'None']","[4960, 2400]",high
221,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']","[12000, 2400, 13360, 1680, 7600, 3200, 2560]",low
222,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None']","[3840, 2720, 1920, 2960, 20160, 5520, 14640]",high
223,"['Approach', 'Touch']","[5520, 2560]",low
224,"['Approach', 'None', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']","[3440, 33920, 12000, 5120, 14560, 5040, 2000, 3760, 7760]",low
225,"['Approach', 'None', 'Follow']","[4400, 19040, 9040]",high
226,"['Approach', 'Gesture', 'None']","[3840, 5280, 12160]",low
227,"['Approach', 'Touch', 'None']","[2240, 2400, 5440]",low
228,"['Approach', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Avoid', 'None']","[8440, 4000, 22720, 3760, 3920, 7280, 6480, 12080, 4320, 32480, 4320, 17360]",low
229,"['Approach', 'None']","[7040, 36960]",high
230,"['Approach', 'None', 'Touch', 'None']","[6880, 1520, 8560, 41280]",high
231,"['Approach', 'None', 'Touch', 'None']","[8000, 6560, 2240, 15440]",high
232,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[2160, 17520, 19120, 15120, 2320, 2160, 10400]",low
233,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Gesture', 'None']","[4400, 1600, 2800, 880, 3920, 19680, 1280, 6480, 13520]",low
234,"['Approach', 'None', 'Touch', 'None']","[7440, 7360, 2000, 14960]",high
235,"['Approach', 'Touch', 'Approach', 'None']","[3200, 22960, 1840, 8400]",low
236,"['Approach', 'Touch', 'None', 'Touch']","[4080, 4960, 1120, 7760]",low
237,"['Approach', 'None']","[7200, 8480]",high
238,"['Approach', 'None']","[5200, 1760]",high
239,"['Approach', 'Gesture']","[3520, 2640]",low
240,"['Approach', 'None', 'Gesture', 'None', 'Gesture']","[2960, 1440, 6240, 5200, 8440]",low
241,"['Approach', 'None']","[5360, 7920]",high
242,"['Approach', 'Gesture', 'None', 'Gesture', 'None']","[8080, 3120, 2080, 3920, 3120]",low
243,"['Approach', 'None']","[5600, 11840]",high
244,"['Approach', 'None']","[19040, 11840]",high
245,"['Approach', 'None']","[15600, 10480]",high
246,"['Approach', 'None']","[10080, 131200]",high
247,"['Approach', 'None', 'Avoid']","[6320, 38160, 5760]",low
248,"['Approach', 'None']","[10240, 19200]",high
249,"['Approach', 'None']","[7840, 1760]",high
250,"['Approach', 'Gesture', 'None']","[2320, 3200, 28320]",low
251,"['Approach', 'None', 'Approach', 'None']","[2560, 6720, 10080, 22000]",high
252,"['Approach', 'None']","[5680, 38240]",high
253,"['Approach', 'None']","[4960, 8320]",high
254,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[5520, 15920, 2160, 12240, 4720, 27360, 2160, 12960]",low
255,"['Approach', 'None', 'None', 'Touch']","[3360, 3000, 16000, 0]",low
256,"['Approach', 'None', 'Touch', 'None']","[3120, 9200, 3600, 9840]",high
257,"['Approach', 'None']","[4480, 18240]",high
258,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[5440, 155200, 5360, 3280, 3040, 1920, 6720, 5680]",high
259,"['Approach', 'None']","[13360, 15360]",high
260,"['Approach', 'None']","[14000, 17040]",high
261,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[13280, 27680, 6880, 95920, 12880, 13880]",high
262,"['Approach', 'None']","[8720, 3040]",high
263,"['Approach', 'None']","[5840, 6160]",high
264,"['Approach', 'None']","[8240, 3040]",high
265,"['Approach', 'None']","[5680, 9200]",high
266,"['Approach', 'None', 'Approach', 'None']","[14800, 6000, 8640, 34400]",high
267,"['Approach', 'Gesture', 'Approach', 'None']","[12960, 7680, 6720, 10640]",low
268,"['Approach', 'None', 'Touch']","[4080, 1760, 28960]",high
269,"['Approach', 'None', 'Follow']","[8480, 15040, 13920]",high
270,"['Approach', 'None', 'Follow']","[7040, 10560, 9600]",high
271,"['Approach', 'None', 'Avoid', 'Follow']","[8000, 7840, 4240, 9840]",low
272,"['Approach', 'None', 'Avoid', 'Follow']","[5920, 6720, 5840, 12320]",low
273,"['Approach', 'Touch', 'None', 'Avoid', 'Approach', 'Gesture', 'None']","[14880, 4160, 4800, 3680, 5600, 2720, 6560]",low
274,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[5760, 1600, 1920, 4800, 3040, 2080]",high
275,"['Approach', 'None']","[6400, 2240]",high
276,"['Approach', 'None']","[6960, 2160]",high
277,"['Approach', 'Gesture', 'None', 'Avoid', 'Approach', 'Gesture', 'Approach', 'Gesture', 'None', 'Gesture', 'None', 'Avoid', 'Avoid', 'Follow', 'Approach', 'Touch', 'None']","[10000, 4800, 560, 1760, 2320, 9840, 1680, 3920, 3920, 2400, 1200, 2160, 240, 2720, 1520, 4000, 10320]",low
278,"['Approach', 'Touch', 'None']","[4480, 7520, 25280]",low
279,"['Approach', 'None']","[4720, 46160]",high
280,"['Approach', 'None']","[3760, 2480]",high
281,"['Approach', 'Touch', 'None']","[6000, 6320, 10880]",low
282,"['Approach', 'Gesture', 'None']","[15360, 3520, 17760]",low
283,"['Approach', 'Gesture', 'None']","[16160, 2960, 19760]",low
284,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None']","[17360, 2160, 2240, 1200, 1840, 13200]",high
285,"['Approach', 'None']","[6160, 3040]",high
286,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None']","[4160, 10000, 9200, 640, 1920, 6880]",high
287,"['Approach', 'None']","[6800, 29200]",high
288,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Gesture']","[5680, 3680, 6640, 9440, 4160, 2720]",low
289,"['Approach', 'Touch', 'None']","[2880, 3760, 4640]",low
290,"['Approach', 'None', 'Touch', 'None']","[8320, 9760, 6400, 35840]",high
291,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[15360, 4960, 12480, 4000, 4000, 5120, 3680, 2560, 5120, 2640, 3200, 3440, 5200]",low
292,"['Approach', 'None']","[6400, 70720]",high
293,"['Approach', 'None']","[7360, 27200]",high
294,"['Approach', 'None', 'Touch', 'None']","[10400, 28720, 14560, 91280]",high
295,"['Approach', 'None']","[6320, 43680]",high
296,"['Approach', 'None']","[8080, 6640]",high
297,"['Approach', 'None']","[13040, 6240]",high
298,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[16320, 13600, 6240, 13760, 9360, 3360, 1920, 17520]",high
299,"['Approach', 'None']","[8000, 18160]",high
300,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[4640, 4080, 2080, 4400, 2880, 6800]",high
301,"['Approach', 'None', 'Approach', 'None']","[22160, 28160, 5600, 8960]",high
302,"['Approach', 'None']","[17520, 64240]",high
303,"['Approach', 'None']","[2320, 8800]",high
304,"['Approach', 'None']","[8080, 16640]",high
305,"['Approach', 'None']","[4240, 38160]",high
306,"['Approach', 'None']","[5200, 5920]",high
307,"['Approach', 'Touch']","[3520, 25760]",low
308,"['Approach', 'None', 'Approach', 'None']","[17840, 2720, 3360, 34400]",high
309,"['Approach', 'None']","[9920, 90880]",high
310,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch']","[2160, 16960, 20800, 3200, 4000, 11280]",low
311,"['Approach', 'None']","[3440, 30200]",high
312,"['Approach', 'None', 'Approach', 'None']","[18800, 10320, 5680, 2080]",high
313,"['Approach', 'None']","[6720, 40720]",high
314,"['Approach', 'None']","[5280, 3680]",high
315,"['Approach', 'None', 'Approach', 'Touch', 'None']","[28400, 13040, 3040, 9440, 32080]",high
316,"['Approach', 'None']","[6640, 12480]",high
317,"['Approach', 'None', 'Approach', 'None']","[14080, 57120, 5760, 21600]",high
318,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[11520, 4320, 6480, 18240, 2400, 40720]",high
319,"['Approach', 'None']","[10160, 13360]",high
320,"['Approach', 'None', 'Approach', 'None']","[18640, 74400, 2160, 3920]",high
321,"['Approach', 'None']","[6640, 23600]",high
322,"['Approach', 'None', 'Approach', 'None']","[15680, 72160, 4720, 9040]",high
