,code,start,duration,A/C,M/F,appearance
90,"['Approach', 'Gesture', 'None', 'Gesture', 'None']","[1568400, 1580080, 1587600, 1590640, 1594160]","[10240, 7520, 3040, 3520, 16080]",Child,Male,"{'베이지색 상의, 검정색 바지'}"
91,"['Approach', 'Touch', 'Gesture', 'Touch', 'Gesture']","[457440, 462720, 468840, 473560, 505640]","[5280, 6120, 4720, 32080, 7360]",Child,Female,"{'베이지색 상의, 청바지, 흰색 운동화'}"
92,"['Approach', 'Touch']","[515240, 519800]","[4560, 36800]",Child,Female,"{'베이지색 상의, 청바지, 흰색 운동화'}"
93,"['Approach', 'Touch']","[474200, 485240]","[11040, 44880]",Child,Female,"{'묶은 머리, 검정 상의, 흰색 조끼, 검정 바지'}"
94,"['Approach', 'Touch', 'Approach', 'None']","[507640, 514600, 540760, 546920]","[6960, 26160, 6160, 9680]",Child,Female,"{'검정 상의, 흰색 조끼, 회색 바지'}"
95,"['Approach', 'Gesture']","[435800, 441800]","[6000, 5320]",Child,Female,"{'민트색 상의, 베이지색 바지'}"
96,"['Approach', 'None']","[488120, 511560]","[23440, 45040]",Child,Female,"{'분홍색 상의, 분홍색 레이스 치마, 회색 바지'}"
97,"['Approach', 'Touch']","[431960, 451720]","[19760, 13120]",Child,Female,"{'검정색 상의, 차콜색 바지'}"
98,"['Approach', 'None', 'Gesture']","[469560, 472920, 543960]","[3360, 71040, 12680]",Child,Female,"{'검정색 상의, 차콜색 바지'}"
99,"['Approach', 'None']","[507080, 517080]","[10000, 22760]",Child,Male,"{'회색 후드, 회색 트레이닝 바지, 검정색 운동화'}"
100,"['Approach', 'None']","[544640, 553680]","[9040, 2960]",Child,Male,"{'회색 후드, 회색 트레이닝 바지, 검정색 운동화'}"
101,"['Approach', 'None']","[437600, 453520]","[15920, 8560]",Child,Female,"{'빨간색 상의, 청바지, 흰색 운동화'}"
102,"['Approach', 'None']","[510640, 519600]","[8960, 37040]",Child,Female,"{'빨간색 상의, 청바지, 흰색 운동화'}"
103,"['Approach', 'Gesture']","[445240, 463400]","[18160, 45360]",Child,Female,"{'반묶음 머리, 체크무늬 상의, 검정색 바지'}"
104,"['Approach', 'Touch']","[19040, 25520]","[6480, 49040]",Child,Male,"{'검정 모자, 파란색 상의, 검정 조끼, 파란색 바지'}"
105,"['Approach', 'None']","[23600, 28240]","[4640, 11280]",Child,Female,"{'베이지색 상의, 청바지, 흰색 운동화'}"
106,"['Approach', 'Touch', 'Approach', 'Touch']","[151120, 155200, 208640, 211520]","[4080, 52560, 2880, 86720]",Child,Female,"{'베이지색 상의, 청바지, 흰색 운동화'}"
107,"['Approach', 'None']","[62880, 76000]","[13120, 8320]",Child,Female,"{'묶은 머리, 검정 상의, 흰색 조끼, 검정 바지'}"
108,"['Approach', 'Touch', 'Follow', 'Approach', 'Touch', 'Approach', 'None']","[95040, 101200, 103840, 138560, 142560, 206480, 212400]","[6160, 2640, 34720, 4000, 63920, 5920, 38960]",Child,Female,"{'묶은 머리, 검정 상의, 흰색 조끼, 검정 바지'}"
109,"['Approach', 'None']","[253920, 260320]","[6400, 5120]",Child,Female,"{'묶은 머리, 검정 상의, 흰색 조끼, 검정 바지'}"
110,"['Approach', 'Touch']","[305120, 313120]","[8000, 32000]",Child,Female,"{'묶은 머리, 검정 상의, 흰색 조끼, 검정 바지'}"
111,"['Approach', 'None']","[357280, 367040]","[9760, 11840]",Child,Female,"{'묶은 머리, 검정 상의, 흰색 조끼, 검정 바지'}"
112,"['Approach', 'Follow']","[100280, 106520]","[6240, 38400]",Child,Female,"{'검정 상의, 흰색 조끼, 회색 바지'}"
113,"['Approach', 'Touch']","[154200, 156920]","[2720, 94640]",Child,Female,"{'검정 상의, 흰색 조끼, 회색 바지'}"
114,"['Approach', 'None', 'Approach', 'None']","[256040, 260760, 274360, 278680]","[4720, 14640, 4320, 22400]",Child,Female,"{'검정 상의, 흰색 조끼, 회색 바지'}"
115,"['Approach', 'None']","[339400, 347960]","[8560, 12880]",Child,Female,"{'검정 상의, 흰색 조끼, 회색 바지'}"
116,"['Approach', 'Touch']","[376720, 380080]","[3360, 2880]",Child,Male,"{'줄무늬 검정색 상의, 줄무늬 검정색 하의'}"
117,"['Approach', 'Touch']","[394560, 399520]","[4960, 4240]",Child,Male,"{'줄무늬 검정색 상의, 줄무늬 검정색 하의'}"
118,"['Approach', 'Touch', 'Approach', 'Touch', 'Approach', 'Avoid', 'Follow', 'Avoid', 'Follow', 'Follow', 'Approach', 'None']","[0, 3960, 38160, 40480, 97680, 102000, 107600, 119440, 128160, 133440, 139520, 151040]","[3960, 33960, 2320, 56560, 4360, 5600, 11840, 8560, 5280, 6080, 11520, 10320]",Child,Male,"{'회색 맨투맨, 검정 바지, 흰색 운동화'}"
119,"['Approach', 'None']","[311640, 317240]","[5600, 3440]",Child,Male,"{'회색 맨투맨, 검정 바지, 흰색 운동화'}"
120,"['Approach', 'None']","[362520, 369640]","[7120, 8960]",Child,Male,"{'회색 맨투맨, 검정 바지, 흰색 운동화'}"
121,"['Approach', 'Touch', 'Approach', 'Touch']","[28560, 32800, 78320, 80400]","[4240, 45120, 2080, 12560]",Child,Male,"{'차콜색 후드, 검정 바지, 검은색/흰색 운동화'}"
122,"['Approach', 'Avoid', 'Follow']","[103920, 107840, 111360]","[3920, 3520, 24480]",Child,Male,"{'차콜색 후드, 검정 바지, 검은색/흰색 운동화'}"
123,"['Approach', 'Touch', 'Approach', 'None']","[140800, 152480, 235600, 239600]","[11680, 81920, 2640, 23760]",Child,Male,"{'차콜색 후드, 검정 바지, 검은색/흰색 운동화'}"
124,"['Approach', 'None']","[267040, 271840]","[4800, 33280]",Child,Male,"{'차콜색 후드, 검정 바지, 검은색/흰색 운동화'}"
125,"['Approach', 'Touch']","[313360, 315360]","[2000, 63680]",Child,Male,"{'차콜색 후드, 검정 바지, 검은색/흰색 운동화'}"
126,"['Approach', 'None']","[210800, 218480]","[7680, 83840]",Child,Female,"{'분홍색 상의, 분홍색 레이스 치마, 회색 바지'}"
127,"['Approach', 'Touch']","[314640, 323040]","[8400, 56800]",Child,Female,"{'분홍색 상의, 분홍색 레이스 치마, 회색 바지'}"
128,"['Approach', 'None']","[25280, 32720]","[7440, 6000]",Child,Female,"{'검정색 상의, 차콜색 바지'}"
129,"['Approach', 'Touch']","[288480, 292640]","[4160, 4800]",Child,Female,"{'검정색 상의, 차콜색 바지'}"
130,"['Approach', 'Gesture', 'Avoid']","[109760, 111840, 114720]","[2080, 4160, 14000]",Child,Male,"{'회색 후드(등에 LA), 회색 트레이닝 바지, 흰색 운동화'}"
131,"['Approach', 'Touch', 'Approach', 'None', 'Approach', 'None']","[138640, 144480, 181120, 191200, 207920, 214320]","[5840, 35600, 10080, 16720, 6400, 83680]",Child,Male,"{'회색 후드(등에 LA), 회색 트레이닝 바지, 흰색 운동화'}"
132,"['Approach', 'None', 'Approach', 'Approach', 'None']","[314480, 318960, 325440, 329360, 331600]","[4480, 6480, 2800, 2240, 13200]",Child,Male,"{'회색 후드(등에 LA), 회색 트레이닝 바지, 흰색 운동화'}"
133,"['Approach', 'None']","[130880, 135600]","[4720, 6080]",Child,Male,"{'회색 후드, 회색 트레이닝 바지, 검정색 운동화'}"
134,"['Approach', 'None']","[25200, 32080]","[6880, 9040]",Child,Female,"{'빨간색 상의, 청바지, 흰색 운동화'}"
135,"['Approach', 'None']","[242000, 247200]","[5200, 31760]",Child,Female,"{'빨간색 상의, 청바지, 흰색 운동화'}"
136,"['Approach', 'None']","[168080, 178320]","[10240, 10720]",Child,Female,"{'반묶음 머리, 체크무늬 상의, 검정색 바지'}"
137,"['Approach', 'None']","[253360, 259680]","[6320, 41280]",Child,Female,"{'반묶음 머리, 체크무늬 상의, 검정색 바지'}"
138,"['Approach', 'None']","[35360, 48080]","[12720, 37600]",Child,Male,"{'회색 후드, 아이보리색 점퍼, 검정색 바지'}"
139,"['Approach', 'None']","[222720, 241040]","[17200, 59760]",Child,Male,"{'회색 후드, 아이보리색 점퍼, 검정색 바지'}"
140,"['Approach', 'None']","[375440, 384400]","[8960, 3040]",Child,Male,"{'회색 후드, 아이보리색 점퍼, 검정색 바지'}"
141,"['Approach', 'None']","[291680, 299040]","[7360, 2880]",Child,Female,"{'검정색 상의, 검정색 치마, 검정색 반스타킹'}"
142,"['Approach', 'Avoid']","[109600, 111760]","[2160, 17200]",Child,Male,"{'검정색 상의(소매에 흰색 줄무늬), 회색 바지, 베이지색 운동화'}"
143,"['Approach', 'None']","[144560, 153920]","[9360, 149920]",Child,Male,"{'검정색 상의(소매에 흰색 줄무늬), 회색 바지, 베이지색 운동화'}"
144,"['Approach', 'Touch', 'Approach', 'None', 'Approach', 'None']","[310240, 316480, 347040, 349840, 360720, 365040]","[6240, 30080, 2800, 10880, 4320, 13040]",Child,Male,"{'검정색 상의(소매에 흰색 줄무늬), 회색 바지, 베이지색 운동화'}"
145,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[6960, 41120, 44080, 48880, 69440, 73040, 76480, 85280]","[34160, 2960, 4800, 20560, 3600, 3440, 8800, 10880]",Child,Female,"{'흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화'}"
146,"['Approach', 'Follow', 'None']","[123520, 129200, 142800]","[5680, 13600, 17680]",Child,Female,"{'흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화'}"
147,"['Approach', 'None', 'Touch']","[197360, 201280, 274480]","[3920, 73200, 29920]",Child,Female,"{'흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화'}"
148,"['Approach', 'None', 'Approach', 'Touch']","[315600, 322880, 344000, 348320]","[7280, 20080, 4320, 32560]",Child,Female,"{'흰색 머리끈, 검정색 상의, 검정색 바지, 흰색 운동화'}"
149,"['Approach', 'Touch', 'Gesture', 'Touch']","[10000, 18080, 45760, 61760]","[7120, 27680, 16000, 33840]",Child,Male,"{'무릎까지 오는 긴 점퍼, 줄무늬 검정 트레이닝복'}"
