,code,start,duration,A/C,M/F,appearance
193,"['Approach', 'None']","[0, 5120]","[5120, 7840]",Adult,Female,"{'크로스백, 차콜색 자켓, 청바지'}"
194,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Gesture', 'None']","[20320, 24400, 37760, 41360, 43440, 49120, 58880, 82480, 84160, 86400]","[4080, 13360, 3600, 2080, 5680, 9760, 23600, 1680, 2240, 16560]",Adult,Female,"{'크로스백, 차콜색 자켓, 청바지'}"
195,"['Approach', 'None']","[181520, 193760]","[12240, 4000]",Adult,Female,"{'크로스백, 차콜색 자켓, 청바지'}"
196,"['Approach', 'None', 'Touch', 'None', 'Approach', 'None', 'Touch']","[21600, 25280, 37760, 41520, 47200, 50560, 58960]","[3680, 12480, 3760, 5680, 3360, 8400, 9120]",Child,Male,"{'검정색 상의, 검정색 바지, 검정색 운동화'}"
197,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch']","[99920, 102240, 104800, 106880, 116960, 118800, 125520, 125840]","[2320, 1040, 2080, 10080, 1840, 6720, 320, 3840]",Child,Male,"{'검정색 상의, 검정색 바지, 검정색 운동화'}"
198,"['Approach', 'Touch']","[134480, 135920]","[1440, 1200]",Child,Male,"{'검정색 상의, 검정색 바지, 검정색 운동화'}"
199,"['Approach', 'Gesture']","[141360, 145600]","[4240, 7200]",Child,Male,"{'검정색 상의, 검정색 바지, 검정색 운동화'}"
200,"['Approach', 'None', 'Touch']","[164000, 167600, 171760]","[3600, 4160, 13520]",Child,Male,"{'검정색 상의, 검정색 바지, 검정색 운동화'}"
201,"['Approach', 'Gesture', 'Touch']","[930000, 942880, 944000]","[12880, 1120, 2320]",Child,Male,"{'검정색 상의, 검정색 바지, 검정색 운동화'}"
202,"['Approach', 'None']","[1639400, 1651080]","[11680, 18640]",Adult,Male,"{'배낭, 검정색 맨투맨, 검정색 바지'}"
203,"['Approach', 'None']","[1742600, 1756840]","[14240, 14080]",Adult,Male,"{'배낭, 검정색 맨투맨, 검정색 바지'}"
204,"['Approach', 'Touch']","[1311400, 1315720]","[4320, 13520]",Child,Female,"{'보라색 상의, 흰색 조끼, 보라색 바지'}"
205,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[438640, 440880, 463040, 467600, 504000, 508400]","[2240, 22160, 4560, 36400, 4400, 23680]",Adult,Female,"{'크로스백, 흰색 상의, 검정색 조끼, 검정색 바지'}"
206,"['Approach', 'Touch', 'None']","[666120, 669960, 671400]","[3840, 1440, 20400]",Adult,Female,"{'크로스백, 흰색 상의, 검정색 조끼, 검정색 바지'}"
207,"['Approach', 'None', 'Approach', 'None']","[965040, 978560, 1039840, 1044800]","[13520, 61280, 4960, 28560]",Adult,Female,"{'크로스백, 흰색 상의, 검정색 조끼, 검정색 바지'}"
208,"['Approach', 'None', 'Approach', 'None']","[1713160, 1726120, 1752840, 1756040]","[12960, 26720, 3200, 16160]",Adult,Female,"{'크로스백, 흰색 상의, 검정색 조끼, 검정색 바지'}"
209,"['Approach', 'Touch', 'None', 'Approach', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None']","[440800, 443600, 455840, 465480, 468040, 471480, 473560, 489320, 491720, 495240, 498520, 514280, 517800, 520440, 525880, 528520, 532520, 535320, 536680]","[2800, 12320, 8480, 2560, 3440, 2080, 15760, 2400, 3520, 3280, 15760, 3520, 2640, 3680, 2640, 4000, 2800, 1360, 15920]",Child,Male,"{'검정색 크로스백, 회색 상의, 검정색 바지'}"
210,"['Approach', 'Touch']","[668800, 670000]","[1200, 22160]",Child,Male,"{'검정색 크로스백, 회색 상의, 검정색 바지'}"
211,"['Approach', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None']","[963360, 978880, 1003680, 1006880, 1037680, 1040320, 1057760]","[15520, 24800, 3200, 30800, 2640, 17440, 15840]",Child,Male,"{'검정색 크로스백, 회색 상의, 검정색 바지'}"
212,"['Approach', 'Touch', 'None', 'Touch']","[1712360, 1719400, 1725960, 1737240]","[7040, 6560, 11280, 10400]",Child,Male,"{'검정색 크로스백, 회색 상의, 검정색 바지'}"
213,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']","[439600, 446800, 468400, 472880, 481360, 485520, 489120, 490480, 492560, 500560, 503440, 507680, 510720, 521520, 523280, 527280, 530080]","[7200, 21600, 4480, 8480, 4160, 2400, 1360, 2080, 8000, 2880, 4240, 3040, 10800, 1760, 4000, 2800, 3600]",Child,Female,"{'검정색 크로스백, 회색 상의, 흰색 바지'}"
214,"['Approach', 'None', 'Approach', 'Touch']","[550080, 553040, 566080, 567120]","[2960, 12320, 1040, 3600]",Child,Female,"{'검정색 크로스백, 회색 상의, 흰색 바지'}"
215,"['Approach', 'None', 'Touch']","[573200, 575760, 579200]","[2560, 3440, 3360]",Child,Female,"{'검정색 크로스백, 회색 상의, 흰색 바지'}"
216,"['Approach', 'None', 'Gesture', 'None']","[668320, 676720, 677920, 684880]","[8400, 1200, 5840, 7680]",Child,Female,"{'검정색 크로스백, 회색 상의, 흰색 바지'}"
217,"['Approach', 'Avoid', 'Follow']","[1780120, 1783160, 1787800]","[3040, 4640, 15440]",Child,Female,"{'검정색 크로스백, 회색 상의, 흰색 바지'}"
218,"['Approach', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Gesture', 'None', 'Touch', 'None']","[462800, 470240, 491280, 495520, 497440, 501200, 503280, 506560, 509200, 512160, 521440, 525360]","[7440, 21040, 4240, 1920, 3760, 2080, 3280, 2640, 2960, 9280, 3760, 8560]",Adult,Male,"{'검정색 마스크, 검정색 상의, 청바지, 검정색 운동화'}"
219,"['Approach', 'None']","[554080, 557600]","[3520, 9520]",Adult,Male,"{'검정색 마스크, 검정색 상의, 청바지, 검정색 운동화'}"
220,"['Approach', 'None']","[682240, 687200]","[4960, 2400]",Adult,Male,"{'검정색 마스크, 검정색 상의, 청바지, 검정색 운동화'}"
221,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']","[719320, 731320, 733720, 747080, 748760, 756360, 759560]","[12000, 2400, 13360, 1680, 7600, 3200, 2560]",Adult,Female,"{'베이지색 가방, 아이보리색 점퍼, 검정 치마'}"
222,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None']","[729040, 732880, 735600, 737520, 740480, 760640, 766160]","[3840, 2720, 1920, 2960, 20160, 5520, 14640]",Adult,Male,"{'검정색 상의, 회색 바지'}"
223,"['Approach', 'Touch']","[809760, 815280]","[5520, 2560]",Adult,Male,"{'검정색 상의, 회색 바지'}"
224,"['Approach', 'None', 'None', 'Touch', 'None', 'Touch', 'None', 'Gesture', 'None']","[730720, 731200, 734160, 746160, 751280, 765840, 770880, 772880, 776640]","[3440, 33920, 12000, 5120, 14560, 5040, 2000, 3760, 7760]",Child,Male,"{'검정 상의(흰색 모자), 검정색 바지'}"
225,"['Approach', 'None', 'Follow']","[1768040, 1772440, 1791480]","[4400, 19040, 9040]",Adult,Male,"{'검정색 모자, 검정색 상의, 흰색 줄무늬 검정색 바지'}"
226,"['Approach', 'Gesture', 'None']","[870640, 874480, 879760]","[3840, 5280, 12160]",Child,Female,"{'빨간색 체크무늬 상의, 검정색 바지'}"
227,"['Approach', 'Touch', 'None']","[871680, 873920, 876320]","[2240, 2400, 5440]",Child,Male,"{'검정색 점퍼, 회색 바지, 흰색 운동화'}"
228,"['Approach', 'Touch', 'None', 'Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Avoid', 'None']","[1122240, 1130680, 1134680, 1157400, 1161160, 1165080, 1172360, 1178840, 1190920, 1195240, 1227720, 1231880]","[8440, 4000, 22720, 3760, 3920, 7280, 6480, 12080, 4320, 32480, 4320, 17360]",Adult,Female,"{'회색 가방, 회색 맨투맨, 검정바지'}"
229,"['Approach', 'None']","[1045920, 1052960]","[7040, 36960]",Child,Male,"{'검정색 가디건(흰색 무늬), 청바지, 흰색 운동화'}"
230,"['Approach', 'None', 'Touch', 'None']","[1124400, 1131280, 1132800, 1141360]","[6880, 1520, 8560, 41280]",Child,Male,"{'검정색 가디건(흰색 무늬), 청바지, 흰색 운동화'}"
231,"['Approach', 'None', 'Touch', 'None']","[1185960, 1193960, 1200520, 1202760]","[8000, 6560, 2240, 15440]",Child,Male,"{'검정색 가디건(흰색 무늬), 청바지, 흰색 운동화'}"
232,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[972000, 974160, 991680, 1010800, 1025920, 1028240, 1030400]","[2160, 17520, 19120, 15120, 2320, 2160, 10400]",Child,Male,"{'검정색 점퍼, 민트색 상의, 청바지'}"
233,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Gesture', 'None']","[1125960, 1130360, 1131960, 1135800, 1136680, 1140600, 1162200, 1163480, 1169960]","[4400, 1600, 2800, 880, 3920, 19680, 1280, 6480, 13520]",Child,Male,"{'검정색 점퍼, 민트색 상의, 청바지'}"
234,"['Approach', 'None', 'Touch', 'None']","[1186520, 1193960, 1201320, 1203320]","[7440, 7360, 2000, 14960]",Child,Male,"{'검정색 점퍼, 민트색 상의, 청바지'}"
235,"['Approach', 'Touch', 'Approach', 'None']","[1290200, 1293400, 1317000, 1319000]","[3200, 22960, 1840, 8400]",Child,Male,"{'검정색 점퍼, 민트색 상의, 청바지'}"
236,"['Approach', 'Touch', 'None', 'Touch']","[1730360, 1734440, 1739320, 1740440]","[4080, 4960, 1120, 7760]",Child,Male,"{'검정색 점퍼, 민트색 상의, 청바지'}"
237,"['Approach', 'None']","[1268080, 1275280]","[7200, 8480]",Child,Male,"{'검정색 후드, 분홍색 바지, 검정색 운동화'}"
238,"['Approach', 'None']","[1299840, 1305040]","[5200, 1760]",Child,Male,"{'검정색 후드, 분홍색 바지, 검정색 운동화'}"
239,"['Approach', 'Gesture']","[1634840, 1638360]","[3520, 2640]",Child,Male,"{'검정색 후드, 분홍색 바지, 검정색 운동화'}"
240,"['Approach', 'None', 'Gesture', 'None', 'Gesture']","[1643480, 1646440, 1647880, 1654120, 1659320]","[2960, 1440, 6240, 5200, 8440]",Child,Male,"{'검정색 후드, 분홍색 바지, 검정색 운동화'}"
241,"['Approach', 'None']","[1756120, 1761480]","[5360, 7920]",Child,Male,"{'검정색 후드, 분홍색 바지, 검정색 운동화'}"
242,"['Approach', 'Gesture', 'None', 'Gesture', 'None']","[1268080, 1272560, 1275680, 1277760, 1281680]","[8080, 3120, 2080, 3920, 3120]",Child,Female,"{'흰색 조끼, 분홍색 바지'}"
243,"['Approach', 'None']","[1755080, 1760680]","[5600, 11840]",Child,Female,"{'흰색 조끼, 분홍색 바지'}"
244,"['Approach', 'None']","[1103360, 1122400]","[19040, 11840]",Adult,Female,"{'분홍색 상의, 분홍색 바지'}"
245,"['Approach', 'None']","[1742680, 1758280]","[15600, 10480]",Adult,Female,"{'분홍색 상의, 분홍색 바지'}"
246,"['Approach', 'None']","[1040120, 1050200]","[10080, 131200]",Adult,Male,"{'차콜색 맨투맨, 검정색 바지, 흰색 운동화'}"
247,"['Approach', 'None', 'Avoid']","[1186000, 1192320, 1230480]","[6320, 38160, 5760]",Adult,Male,"{'차콜색 맨투맨, 검정색 바지, 흰색 운동화'}"
248,"['Approach', 'None']","[869120, 879360]","[10240, 19200]",Adult,Female,"{'흰색 가방, 모자, 검정색 상의, 검정색 바지'}"
249,"['Approach', 'None']","[60320, 68160]","[7840, 1760]",Child,Male,"{'검정색 점퍼, 회색 바지, 흰색 운동화'}"
250,"['Approach', 'Gesture', 'None']","[2606200, 2608520, 2611720]","[2320, 3200, 28320]",Child,Male,"{'검정색 점퍼, 회색 바지, 흰색 운동화'}"
251,"['Approach', 'None', 'Approach', 'None']","[2655240, 2657800, 2665520, 2675520]","[2560, 6720, 10080, 22000]",Child,Male,"{'검정색 점퍼, 회색 바지, 흰색 운동화'}"
252,"['Approach', 'None']","[2710240, 2715920]","[5680, 38240]",Child,Male,"{'검정색 점퍼, 회색 바지, 흰색 운동화'}"
253,"['Approach', 'None']","[2765120, 2770080]","[4960, 8320]",Child,Male,"{'검정색 점퍼, 회색 바지, 흰색 운동화'}"
254,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[2631320, 2636840, 2652760, 2654920, 2667160, 2672120, 2699480, 2701640]","[5520, 15920, 2160, 12240, 4720, 27360, 2160, 12960]",Adult,Male,"{'검정색 모자, 검정색 상의, 흰색 줄무늬 검정색 바지'}"
255,"['Approach', 'None', 'None', 'Touch']","[2718360, 2721720, 2724240, 2724720]","[3360, 3000, 16000, 0]",Adult,Male,"{'검정색 모자, 검정색 상의, 흰색 줄무늬 검정색 바지'}"
256,"['Approach', 'None', 'Touch', 'None']","[2740160, 2743280, 2752480, 2756080]","[3120, 9200, 3600, 9840]",Adult,Male,"{'검정색 모자, 검정색 상의, 흰색 줄무늬 검정색 바지'}"
257,"['Approach', 'None']","[2768080, 2772560]","[4480, 18240]",Adult,Male,"{'검정색 모자, 검정색 상의, 흰색 줄무늬 검정색 바지'}"
258,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[2603800, 2609240, 2764440, 2769800, 2773080, 2776120, 2778040, 2784760]","[5440, 155200, 5360, 3280, 3040, 1920, 6720, 5680]",Child,Female,"{'빨간색 체크무늬 상의, 검정색 바지'}"
259,"['Approach', 'None']","[2678640, 2692000]","[13360, 15360]",Child,Female,"{'흰색 조끼, 분홍색 바지'}"
260,"['Approach', 'None']","[2675400, 2689400]","[14000, 17040]",Adult,Female,"{'분홍색 상의, 분홍색 바지'}"
261,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[2621000, 2634280, 2661960, 2668840, 2764760, 2777640]","[13280, 27680, 6880, 95920, 12880, 13880]",Adult,Female,"{'묶은 머리, 흰색 가방, 검정색 상의, 검정색 바지'}"
262,"['Approach', 'None']","[219600, 228320]","[8720, 3040]",Adult,Female,"{'흰색 점퍼, 청바지'}"
263,"['Approach', 'None']","[219360, 225200]","[5840, 6160]",Adult,Male,"{'검정 모자, 검정 상의, 검정 바지'}"
264,"['Approach', 'None']","[220640, 228880]","[8240, 3040]",Child,Male,"{'회색 점퍼, 청바지'}"
265,"['Approach', 'None']","[218240, 223920]","[5680, 9200]",Child,Male,"{'베이지색 상의, 회색 바지'}"
266,"['Approach', 'None', 'Approach', 'None']","[1252920, 1267720, 1273720, 1282360]","[14800, 6000, 8640, 34400]",Adult,Female,"{'회색 후드, 청바지'}"
267,"['Approach', 'Gesture', 'Approach', 'None']","[1253520, 1266480, 1274160, 1280880]","[12960, 7680, 6720, 10640]",Adult,Male,"{'회색 후드, 흰색 상의, 청바지'}"
268,"['Approach', 'None', 'Touch']","[1282080, 1286160, 1287920]","[4080, 1760, 28960]",Child,Male,"{'체크무늬 상의, 청바지'}"
269,"['Approach', 'None', 'Follow']","[1237280, 1245760, 1260800]","[8480, 15040, 13920]",Adult,Female,"{'흰색 점퍼, 청바지'}"
270,"['Approach', 'None', 'Follow']","[1243920, 1250960, 1261520]","[7040, 10560, 9600]",Adult,Male,"{'검정 모자, 검정 상의, 검정 바지'}"
271,"['Approach', 'None', 'Avoid', 'Follow']","[1239840, 1247840, 1255680, 1259920]","[8000, 7840, 4240, 9840]",Child,Male,"{'회색 점퍼, 청바지'}"
272,"['Approach', 'None', 'Avoid', 'Follow']","[1242120, 1248040, 1254760, 1260600]","[5920, 6720, 5840, 12320]",Child,Male,"{'베이지색 상의, 회색 바지'}"
273,"['Approach', 'Touch', 'None', 'Avoid', 'Approach', 'Gesture', 'None']","[2220680, 2235560, 2239720, 2244520, 2249080, 2254680, 2257400]","[14880, 4160, 4800, 3680, 5600, 2720, 6560]",Adult,Male,"{'갈색 점퍼, 회색 상의, 청바지'}"
274,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[2266040, 2271800, 2273400, 2275320, 2280120, 2283160]","[5760, 1600, 1920, 4800, 3040, 2080]",Adult,Male,"{'갈색 점퍼, 회색 상의, 청바지'}"
275,"['Approach', 'None']","[2380400, 2386800]","[6400, 2240]",Adult,Male,"{'갈색 점퍼, 회색 상의, 청바지'}"
276,"['Approach', 'None']","[2421280, 2428240]","[6960, 2160]",Adult,Male,"{'갈색 점퍼, 회색 상의, 청바지'}"
277,"['Approach', 'Gesture', 'None', 'Avoid', 'Approach', 'Gesture', 'Approach', 'Gesture', 'None', 'Gesture', 'None', 'Avoid', 'Avoid', 'Follow', 'Approach', 'Touch', 'None']","[2218480, 2228480, 2233280, 2233840, 2235600, 2237920, 2247760, 2249440, 2253360, 2257280, 2259680, 2260880, 2263040, 2263280, 2266000, 2267520, 2271520]","[10000, 4800, 560, 1760, 2320, 9840, 1680, 3920, 3920, 2400, 1200, 2160, 240, 2720, 1520, 4000, 10320]",Child,Male,"{'흰색 상의, 회색 바지'}"
278,"['Approach', 'Touch', 'None']","[2295520, 2300000, 2307520]","[4480, 7520, 25280]",Child,Male,"{'흰색 상의, 회색 바지'}"
279,"['Approach', 'None']","[2368080, 2372800]","[4720, 46160]",Child,Male,"{'흰색 상의, 회색 바지'}"
280,"['Approach', 'None']","[2431600, 2435360]","[3760, 2480]",Child,Male,"{'흰색 상의, 회색 바지'}"
281,"['Approach', 'Touch', 'None']","[2591040, 2597040, 2603360]","[6000, 6320, 10880]",Child,Male,"{'흰색 상의, 회색 바지'}"
282,"['Approach', 'Gesture', 'None']","[448280, 463640, 467160]","[15360, 3520, 17760]",Adult,Female,"{'검은색 상의, 체크무늬 바지'}"
283,"['Approach', 'Gesture', 'None']","[446840, 463000, 465960]","[16160, 2960, 19760]",Child,Male,"{'검은색 점퍼, 흰색 바지'}"
284,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None']","[448040, 465400, 467560, 469800, 471000, 472840]","[17360, 2160, 2240, 1200, 1840, 13200]",Child,Male,"{'검은색 점퍼, 검은색 바지, 불빛나는 신발'}"
285,"['Approach', 'None']","[1295840, 1302000]","[6160, 3040]",Adult,Female,"{'크로스백, 흰색 상의, 검은색 바지'}"
286,"['Approach', 'None', 'Gesture', 'None', 'Touch', 'None']","[487280, 490800, 500800, 510000, 510640, 512560]","[4160, 10000, 9200, 640, 1920, 6880]",Child,Male,"{'회색 상의, 회색 바지'}"
287,"['Approach', 'None']","[1269680, 1276480]","[6800, 29200]",Child,Male,"{'회색 상의, 회색 바지'}"
288,"['Approach', 'None', 'Approach', 'Touch', 'None', 'Gesture']","[1367560, 1373240, 1376920, 1383560, 1393000, 1397160]","[5680, 3680, 6640, 9440, 4160, 2720]",Child,Male,"{'회색 상의, 회색 바지'}"
289,"['Approach', 'Touch', 'None']","[1542480, 1545360, 1549120]","[2880, 3760, 4640]",Child,Male,"{'회색 상의, 회색 바지'}"
290,"['Approach', 'None', 'Touch', 'None']","[1610800, 1619120, 1628880, 1635280]","[8320, 9760, 6400, 35840]",Child,Male,"{'회색 상의, 회색 바지'}"
291,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[1871760, 1886240, 1891200, 1903680, 1907680, 1911680, 1917200, 1920880, 1923440, 1928560, 1931200, 1934400, 1937840]","[15360, 4960, 12480, 4000, 4000, 5120, 3680, 2560, 5120, 2640, 3200, 3440, 5200]",Adult,Female,"{'크로스백, 흰색 점퍼, 검은색 바지'}"
292,"['Approach', 'None']","[1996320, 2002720]","[6400, 70720]",Adult,Female,"{'크로스백, 흰색 점퍼, 검은색 바지'}"
293,"['Approach', 'None']","[2087720, 2095080]","[7360, 27200]",Adult,Female,"{'크로스백, 흰색 점퍼, 검은색 바지'}"
294,"['Approach', 'None', 'Touch', 'None']","[2226760, 2237160, 2265880, 2280440]","[10400, 28720, 14560, 91280]",Adult,Female,"{'크로스백, 흰색 점퍼, 검은색 바지'}"
295,"['Approach', 'None']","[2593160, 2599480]","[6320, 43680]",Adult,Female,"{'크로스백, 흰색 점퍼, 검은색 바지'}"
296,"['Approach', 'None']","[2648440, 2656520]","[8080, 6640]",Adult,Female,"{'크로스백, 흰색 점퍼, 검은색 바지'}"
297,"['Approach', 'None']","[1920200, 1933240]","[13040, 6240]",Adult,Male,"{'체크 남방, 흰 티, 검은색 바지'}"
298,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[1969160, 1985480, 1999080, 2005080, 2018840, 2028200, 2031560, 2033480]","[16320, 13600, 6240, 13760, 9360, 3360, 1920, 17520]",Adult,Male,"{'체크 남방, 흰 티, 검은색 바지'}"
299,"['Approach', 'None']","[2057240, 2065160]","[8000, 18160]",Adult,Male,"{'체크 남방, 흰 티, 검은색 바지'}"
300,"['Approach', 'None', 'Touch', 'None', 'Touch', 'None']","[2948040, 2952680, 2956760, 2958840, 2963240, 2966120]","[4640, 4080, 2080, 4400, 2880, 6800]",Adult,Male,"{'체크 남방, 흰 티, 검은색 바지'}"
301,"['Approach', 'None', 'Approach', 'None']","[1873320, 1895480, 1925080, 1930680]","[22160, 28160, 5600, 8960]",Child,Male,"{'체크무늬 상의, 검은색 바지'}"
302,"['Approach', 'None']","[1969560, 1987080]","[17520, 64240]",Child,Male,"{'체크무늬 상의, 검은색 바지'}"
303,"['Approach', 'None']","[2193480, 2195800]","[2320, 8800]",Child,Male,"{'체크무늬 상의, 검은색 바지'}"
304,"['Approach', 'None']","[2548040, 2556120]","[8080, 16640]",Child,Male,"{'체크무늬 상의, 검은색 바지'}"
305,"['Approach', 'None']","[2594120, 2598360]","[4240, 38160]",Child,Male,"{'체크무늬 상의, 검은색 바지'}"
306,"['Approach', 'None']","[2649920, 2655120]","[5200, 5920]",Child,Male,"{'체크무늬 상의, 검은색 바지'}"
307,"['Approach', 'Touch']","[2941840, 2945360]","[3520, 25760]",Child,Male,"{'체크무늬 상의, 검은색 바지'}"
308,"['Approach', 'None', 'Approach', 'None']","[1874280, 1892120, 1894840, 1898200]","[17840, 2720, 3360, 34400]",Child,Female,"{'리본 핀, 흰색 원피스'}"
309,"['Approach', 'None']","[1983800, 1993720]","[9920, 90880]",Child,Female,"{'리본 핀, 흰색 원피스'}"
310,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch']","[2141000, 2143160, 2160120, 2180920, 2184120, 2188120]","[2160, 16960, 20800, 3200, 4000, 11280]",Child,Female,"{'리본 핀, 흰색 원피스'}"
311,"['Approach', 'None']","[2229760, 2233200]","[3440, 30200]",Child,Female,"{'리본 핀, 흰색 원피스'}"
312,"['Approach', 'None', 'Approach', 'None']","[2538680, 2557480, 2568840, 2574520]","[18800, 10320, 5680, 2080]",Child,Female,"{'리본 핀, 흰색 원피스'}"
313,"['Approach', 'None']","[2596520, 2603240]","[6720, 40720]",Child,Female,"{'리본 핀, 흰색 원피스'}"
314,"['Approach', 'None']","[2652280, 2657560]","[5280, 3680]",Child,Female,"{'리본 핀, 흰색 원피스'}"
315,"['Approach', 'None', 'Approach', 'Touch', 'None']","[1900680, 1929080, 1942120, 1945160, 1954600]","[28400, 13040, 3040, 9440, 32080]",Adult,Male,"{'차콜색 상의, 검은색 조끼, 검은색 바지'}"
316,"['Approach', 'None']","[1992120, 1998760]","[6640, 12480]",Adult,Male,"{'차콜색 상의, 검은색 조끼, 검은색 바지'}"
317,"['Approach', 'None', 'Approach', 'None']","[2133480, 2147560, 2204680, 2210440]","[14080, 57120, 5760, 21600]",Adult,Male,"{'차콜색 상의, 검은색 조끼, 검은색 바지'}"
318,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None']","[1903080, 1914600, 1918920, 1925400, 1943640, 1946040]","[11520, 4320, 6480, 18240, 2400, 40720]",Child,Female,"{'회색 상의, 분홍색 조끼, 회색 치마'}"
319,"['Approach', 'None']","[1989640, 1999800]","[10160, 13360]",Child,Female,"{'회색 상의, 분홍색 조끼, 회색 치마'}"
320,"['Approach', 'None', 'Approach', 'None']","[2133000, 2151640, 2226040, 2228200]","[18640, 74400, 2160, 3920]",Child,Female,"{'회색 상의, 분홍색 조끼, 회색 치마'}"
321,"['Approach', 'None']","[1913600, 1920240]","[6640, 23600]",Child,Female,"{'분홍색 상의, 베이지색 조끼, 분홍색 치마'}"
322,"['Approach', 'None', 'Approach', 'None']","[2133840, 2149520, 2221680, 2226400]","[15680, 72160, 4720, 9040]",Child,Female,"{'분홍색 상의, 베이지색 조끼, 분홍색 치마'}"
323,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[1871080, 1886760, 1892440, 1897960, 1908040, 1911720, 1916440, 1928200, 1931960, 1934520, 1937320]","[15680, 5680, 5520, 10080, 3680, 4720, 11760, 3760, 2560, 2800, 5840]",Adult,Female,"{'흰색 맨투맨, 검은색 바지'}"
324,"['Approach', 'None', 'Approach', 'None']","[1995320, 2000600, 2005880, 2008280]","[5280, 5280, 2400, 62080]",Adult,Female,"{'흰색 맨투맨, 검은색 바지'}"
325,"['Approach', 'None']","[2085320, 2087000]","[1680, 3920]",Adult,Female,"{'흰색 맨투맨, 검은색 바지'}"
326,"['Approach', 'None', 'Touch', 'None', 'Approach', 'None']","[2221880, 2237800, 2265160, 2280280, 2312360, 2315160]","[15920, 27360, 15120, 32080, 2800, 56560]",Adult,Female,"{'흰색 맨투맨, 검은색 바지'}"
327,"['Approach', 'Approach', 'None']","[2204400, 2219920, 2221040]","[16640, 4480, 0]",Adult,Male,"{'회색 상의, 회색 바지'}"
328,"['Approach', 'None', 'Touch', 'None', 'Approach', 'None']","[2252880, 2261040, 2294000, 2298480, 1872360, 1889960]","[8160, 32960, 4480, 74080, 17600, 17120]",Adult,Male,"{'회색 상의, 회색 바지'}"
329,"['Approach', 'None']","[2147000, 2156760]","[9760, 21040]",Child,Male,"{'회색 상의, 회색 바지'}"
330,"['Approach', 'Touch', 'None', 'Touch', 'None', 'Approach', 'Touch', 'None']","[2199400, 2207400, 2232120, 2264040, 2266760, 2294920, 2300200, 2305480]","[8000, 24720, 31920, 2720, 26480, 5280, 5280, 28480]",Child,Male,"{'회색 상의, 회색 바지'}"
331,"['Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'Touch', 'None', 'Touch']","[2014600, 2023400, 2048840, 2052600, 2056760, 2058760, 2072680, 2076040, 2082520, 2085880, 2087160, 2089480, 2128760, 2130680]","[8800, 25440, 3760, 4160, 2000, 12320, 3360, 6480, 3360, 1280, 2320, 39280, 1920, 10880]",Adult,Male,"{'검은색 후드, 검은색 바지'}"
332,"['Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None', 'Approach', 'None', 'Approach', 'None', 'Touch', 'None', 'Touch', 'None', 'Touch', 'None']","[1948200, 1952200, 1953640, 1957000, 1967720, 1970440, 1973480, 1975800, 1985880, 1988040, 1997960, 2000920, 2009480, 2011960, 2046440, 2049560, 2056360, 2058920, 2072440, 2076040, 2083800, 2087000, 2104680, 2109800, 2112600, 2114760, 2118120, 2121960]","[4000, 1440, 3360, 10720, 2720, 3040, 2320, 10080, 2160, 9920, 2880, 8560, 2480, 34480, 3120, 6800, 2560, 11920, 3600, 6080, 3200, 17680, 5120, 2800, 2160, 3360, 3840, 13120]",Child,Male,"{'검은색 점퍼, 흰색 상의, 검은색 바지'}"
333,"['Approach', 'Touch']","[83600, 88560]","[4960, 17120]",Child,Male,"{'체크무늬 상의, 검은색 바지'}"
